titulok,kategoria,zdroj,datum
"Firma z Prešova vykupuje od lekární lieky. O tom, či ich vyváža do zahraničia, mlčí",legitimate,www.sme.sk,2025-11-27
"Aj jeden názor môže zmeniť postoj celého Ústavného súdu. Fiačan poslancom pripomenul ich povinnosť",legitimate,www.sme.sk,2025-11-27
"Oznamovateľka korupcie: Ak po zrušení úradu stratím prácu, budem uvažovať o odchode zo Slovenska",legitimate,www.sme.sk,2025-11-27
"Únia sa bude naozaj trhať a treba si vybrať",misleading,www.sme.sk,2025-11-27
"Na vianočných trhoch v Bratislave si za pečenú klobásu pýtajú deväť eur. Ceny tento rok opäť narástli",legitimate,www.sme.sk,2025-11-27
"Ako je to s Benešovými dekrétmi: Čo sa deje na južnom Slovensku a čo skutočne navrhuje PS?",biased,www.sme.sk,2025-11-27
"Za tatranským hotelovým kolosom sa v tichosti objavila firma známeho oligarchu",legitimate,www.sme.sk,2025-11-27
"Je jedno, čo ste čakali. Finále Stranger Things dokazuje, prečo je najlepším seriálom Netflixu",clickbait,www.sme.sk,2025-11-27
"Cynická obluda: Akútna hrozba porušovania základných ľudských práv",biased,www.sme.sk,2025-11-27
"SME Minúta: Koalícia nemá istotu, že Pellegrini podpíše zrušenie protikorupčného úradu. Kroky vlády nechápe",legitimate,www.sme.sk,2025-11-27
"Afganistan je pekelná diera, vraví Trump. Po útoku v DC chystá kolektívny trest",legitimate,www.sme.sk,2025-11-27
"SME Minúta: Európa sa obáva, že Trump podmieni bezpečnostné záruky Ukrajine uzavretím mierovej dohody",legitimate,www.sme.sk,2025-11-27
"Ako sa žije na Slovensku: Človek by neveril, koľko toho telo dokáže vydržať, hovorí rušňovodič",legitimate,www.sme.sk,2025-11-27
"Šeherezáda lákala viac než španielske hviezdy. Pre koho ten futbal robíme? pýtal sa Weiss",legitimate,www.sme.sk,2025-11-27
"Opravu múru v havarijnom stave nemá kto vykonať. Hrozí poškodenie domu, cesty aj plynovodu",legitimate,www.sme.sk,2025-11-27
"Inšpekcia vypočúva poškodených v kauze technického spisu. Na rad prišiel pán X",clickbait,www.sme.sk,2025-11-27
