title,category
"ŠOKUJÚCE! Neuveríte, čo sa stalo po otvorení novej diaľnice",clickbait
"Kliknite sem a zistíte, aký trik používajú politici na zbohatnutie",clickbait
"Neuveriteľná premena známej speváčky – fotky vás ohromia!",clickbait
"Pozrite si, ako sa zmenil tento známy herec po desiatich rokoch",clickbait
"Nový park sa otvorí budúci týždeň v centre mesta",legitimate
"Ministerstvo zdravotníctva vydalo oficiálne vyhlásenie o očkovaní",legitimate
"Primátor oznámil začiatok rekonštrukcie železničnej stanice",legitimate
"Vláda schválila rozpočet na rok 2026",legitimate
"Vedci objavili nový liek proti chrípke",legitimate
"Slovensko od pondelka ruší všetky školy – vláda to potvrdila",false_news
"Nový zákon zakazuje používanie mobilov na verejnosti",false_news
"Zajtra bude na Slovensku zákaz vychádzania pre všetkých občanov",false_news
"Voda v Tatrách je rádioaktívna – potvrdili vedci",false_news
"Vláda tajne ovláda počasie pomocou špeciálnych zariadení",conspiracy
"Elity riadia svet z podzemného bunkra",conspiracy
"ALIENI! Vláda skrýva dôkazy o mimozemšťanoch",conspiracy
"Farmaceutické firmy zatajujú pravdu o liekoch",conspiracy
"Len naša strana dokáže zachrániť Slovensko pred úplným kolapsom",propaganda
"Vládna strana prináša samé úspechy, opozícia len škodí",propaganda
"Nová kampaň ukazuje, že iba jeden líder vie viesť krajinu",propaganda
"Občania musia veriť našej strane, inak hrozí chaos",propaganda
"Parlament schválil zákaz dažďa – odteraz povolené len slnečné dni",satire
"Ministerstvo kultúry nariadilo povinné nosenie klobúkov",satire
"Nový zákon prikazuje občanom jesť len bryndzové halušky",satire
"Prezident vyhlásil, že pondelok bude zrušený",satire
"Nový liek vyliečil všetkých pacientov",misleading
"Graf ukazuje prudký nárast cien – v skutočnosti len vybrané mesiace",misleading
"Vedci tvrdia, že čokoláda lieči rakovinu",misleading
"Štatistiky dokazujú, že nezamestnanosť je nulová",misleading
"Starosta je neschopný, preto jeho návrh nemá zmysel",biased
"Opozičný politik opäť zlyhal, zatiaľ čo vládna strana prináša úspechy",biased
"Novinár kritizuje len jednu stranu, druhú úplne ignoruje",biased
"Politik z našej strany je hrdina, ostatní sú podvodníci",biased
"Šokujúce odhalenie: známa celebrita má tajný život",clickbait
"Neuveríte, čo našli archeológovia pod hradom",clickbait
"Kliknite a zistíte, ako schudnúť za týždeň",clickbait
"Nový most spojí dve mestá už budúci rok",legitimate
"Univerzita otvorila nové laboratórium pre študentov",legitimate
"Obec získala grant na obnovu kultúrneho domu",legitimate
"Nové opatrenia znížia ceny energií",legitimate
"Školy dostanú moderné vybavenie pre žiakov",legitimate
"Od zajtra sa ruší internet na Slovensku",false_news
"Nový zákon prikazuje občanom nosiť prilby aj doma",false_news
"Slovenské hory sú zatvorené kvôli radiácii",false_news
"Všetky banky budú od pondelka zatvorené",false_news
"Tajné spolky ovládajú rozhodnutia parlamentu",conspiracy
"Vláda skrýva pravdu o vakcínach",conspiracy
"Elity manipulujú médiá, aby ovládli občanov",conspiracy
"Nový svetový poriadok už začal",conspiracy
"Naša strana je jediná, ktorá myslí na ľudí",propaganda
"Bez našej strany by krajina skolabovala",propaganda
"Vládny líder je jediný záchranca Slovenska",propaganda
"Občania musia podporiť našu stranu, inak hrozí chaos",propaganda
"Ministerstvo zakázalo dážď – odteraz len slnečné dni",satire
"Nový zákon prikazuje jesť len kapustnicu",satire
"Prezident vyhlásil, že utorok bude zrušený",satire
"Občania musia nosiť ponožky na rukách",satire
"Nový liek zázračne vyliečil všetkých pacientov",misleading
"Štatistiky dokazujú, že inflácia je nulová",misleading
"Vedci tvrdia, že káva predlžuje život o 50 rokov",misleading
"Graf ukazuje pokles cien, ale len za jeden mesiac",misleading
"Opozičný politik je úplne neschopný",biased
"Vládna strana je jediná, ktorá prináša úspechy",biased
"Novinár píše len proti opozícii",biased
"Politik z našej strany je hrdina, ostatní sú podvodníci",biased
"Šokujúce! Neuveríte, čo sa stalo v Bratislave",clickbait
"Kliknite a zistíte, ako zarobiť milión za deň",clickbait
"Neuveriteľná premena známej osobnosti",clickbait
"Nový park sa otvorí v centre mesta",legitimate
"Ministerstvo vydalo oficiálne vyhlásenie o opatreniach",legitimate
"Primátor oznámil rekonštrukciu školy",legitimate
"Vláda schválila nový zákon",legitimate
"Vedci objavili nový liek",legitimate
"Slovensko od pondelka ruší všetky nemocnice",false_news
"Nový zákon zakazuje používanie bicyklov",false_news
"Zajtra bude zákaz vychádzania pre všetkých",false_news
"Voda v Tatrách je jedovatá",false_news
"Vláda tajne ovláda médiá",conspiracy
"Elity riadia svet z podzemia",conspiracy
"ALIENI sú medzi nami",conspiracy
"Farmaceutické firmy zatajujú pravdu",conspiracy
"Naša strana je jediná záchrana",propaganda
"Vládna strana prináša úspechy",propaganda
"Nová kampaň ukazuje silu lídra",propaganda
"Občania musia veriť našej strane",propaganda
"Parlament zakázal sneh",satire
"Ministerstvo prikázalo nosiť klobúky",satire
"Nový zákon prikazuje jesť halušky",satire
"Prezident zrušil pondelok",satire
"Nový liek vyliečil všetkých",misleading
"Graf ukazuje nárast cien",misleading
"Vedci tvrdia, že čokoláda lieči",misleading
"Štatistiky dokazujú nulovú nezamestnanosť",misleading
"Starosta je neschopný",biased
"Opozičný politik zlyhal",biased
"Novinár kritizuje len jednu stranu",biased
"Politik z našej strany je hrdina",biased
"Neuvidíte nikde inde: tajné video uniklo na internet!",clickbait
"Šokujúce odhalenie o známej osobnosti – kliknite a zistíte viac",clickbait
"Neuveriteľná zmena počas jednej noci – fotky vás ohromia",clickbait
"Nový most spojí dve dediny, obyvatelia sa tešia",legitimate
"Univerzita otvorila moderné laboratórium pre študentov",legitimate
"Obec získala grant na obnovu kultúrneho domu",legitimate
"Ministerstvo dopravy oznámilo nové investície do železníc",legitimate
"Vedci predstavili nový liek proti chrípke",legitimate
"Slovensko od pondelka ruší všetky nemocnice",false_news
"Nový zákon zakazuje používanie bicyklov na verejnosti",false_news
"Zajtra bude zákaz vychádzania pre všetkých občanov",false_news
"Voda v Tatrách je jedovatá – potvrdili vedci",false_news
"Tajné spolky ovládajú rozhodnutia parlamentu",conspiracy
"Vláda skrýva pravdu o vakcínach",conspiracy
"Elity manipulujú médiá, aby ovládli občanov",conspiracy
"Nový svetový poriadok už začal",conspiracy
"Naša strana je jediná, ktorá myslí na ľudí",propaganda
"Bez našej strany by krajina skolabovala",propaganda
"Vládny líder je jediný záchranca Slovenska",propaganda
"Občania musia podporiť našu stranu, inak hrozí chaos",propaganda
"Ministerstvo zakázalo dážď – odteraz len slnečné dni",satire
"Nový zákon prikazuje jesť len kapustnicu",satire
"Prezident vyhlásil, že utorok bude zrušený",satire
"Občania musia nosiť ponožky na rukách",satire
"Nový liek zázračne vyliečil všetkých pacientov",misleading
"Štatistiky dokazujú, že inflácia je nulová",misleading
"Vedci tvrdia, že káva predlžuje život o 50 rokov",misleading
